"","row_id","establishment_id","inspection_id","establishment_name","establishmenttype","establishment_address","establishment_status","minimum_inspections_peryear","infraction_details","inspection_date","severity","action","court_outcome","amount_fined"
"23",23,9000026,103587147,"2-4-1 PIZZA","Food Take Out","2372 EGLINTON AVE E","Pass",2,"OPERATE FOOD PREMISE - FAIL TO EQUIP FACILITY WITH CLOTH ROLLER TOWEL, PAPER TOWELS, SINGLE SERVICE TOWELS OR DRYER O. REG  562/90 SEC. 68(3)(E)","2015-10-13","S - Significant","Corrected During Inspection"," "," "
"24",24,9000026,103587147,"2-4-1 PIZZA","Food Take Out","2372 EGLINTON AVE E","Pass",2,"OPERATOR FAIL TO ENSURE COVER WILL PREVENT CONTAMINATION OR ADULTERATION O. REG  562/90 SEC. 59(C)(II)","2015-10-13","S - Significant","Corrected During Inspection"," "," "
"25",25,9000026,103731831,"2-4-1 PIZZA","Food Take Out","2372 EGLINTON AVE E","Pass",2,"","2016-05-18","","","",""
"26",26,9000026,103816910,"2-4-1 PIZZA","Food Take Out","2372 EGLINTON AVE E","Pass",2,"","2016-09-21","","","",""
"27",27,9000026,103930674,"2-4-1 PIZZA","Food Take Out","2372 EGLINTON AVE E","Conditional Pass",2,"Fail to Ensure the Presence of the Holder of a Valid Food Handler's Certificate. Muncipal Code Chapter 545-157(17)(a)","2017-03-15","NA - Not Applicable","Notice to Comply"," "," "
"28",28,9000026,103930674,"2-4-1 PIZZA","Food Take Out","2372 EGLINTON AVE E","Conditional Pass",2,"Operator fail to provide accurate indicating thermometer(s)","2017-03-15","S - Significant","Notice to Comply"," "," "
"29",29,9000026,103930674,"2-4-1 PIZZA","Food Take Out","2372 EGLINTON AVE E","Conditional Pass",2,"Operator fail to provide required supplies at sinks","2017-03-15","S - Significant","Notice to Comply"," "," "
"30",30,9000026,103930674,"2-4-1 PIZZA","Food Take Out","2372 EGLINTON AVE E","Conditional Pass",2,"Operator fail to provide separate handwashing sink(s)","2017-03-15","S - Significant","Notice to Comply"," "," "
"31",31,9000026,103930674,"2-4-1 PIZZA","Food Take Out","2372 EGLINTON AVE E","Conditional Pass",2,"Operator fail to use proper procedure(s) to ensure food safety","2017-03-15","S - Significant","Notice to Comply"," "," "
"32",32,9000026,103930708,"2-4-1 PIZZA","Food Take Out","2372 EGLINTON AVE E","Pass",2,"","2017-03-17","","","",""
"33",33,9000029,103633225,"2-4-1 PIZZA","Food Take Out","2548 EGLINTON AVE W","Pass",2,"","2015-12-22","","","",""
"34",34,9000029,103752798,"2-4-1 PIZZA","Food Take Out","2548 EGLINTON AVE W","Pass",2,"","2016-06-16","","","",""
"35",35,9000031,103484365,"2-4-1 PIZZA","Food Take Out","759 JANE ST ","Conditional Pass",2,"Employee fail to wash hands when required","2015-05-07","C - Crucial","Notice to Comply"," "," "
"36",36,9000031,103484366,"2-4-1 PIZZA","Food Take Out","759 JANE ST ","Pass",2,"","2015-05-08","","","",""
"37",37,9000031,103761458,"2-4-1 PIZZA","Food Take Out","759 JANE ST ","Pass",2,"","2016-06-29","","","",""
"38",38,9000031,103836863,"2-4-1 PIZZA","Food Take Out","759 JANE ST ","Pass",2,"","2016-10-24","","","",""
"39",39,9000046,103477255,"2-4-1 PIZZA","Food Take Out","1468 QUEEN ST W","Pass",2,"Operator fail to provide proper equipment","2015-04-29","M - Minor","Notice to Comply"," "," "
"40",40,9000046,103602581,"2-4-1 PIZZA","Food Take Out","1468 QUEEN ST W","Pass",2,"","2015-11-24","","","",""
"41",41,9000046,103758468,"2-4-1 PIZZA","Food Take Out","1468 QUEEN ST W","Pass",2,"Operator fail to properly maintain rooms","2016-06-27","M - Minor","Notice to Comply"," "," "
"42",42,9000046,103758468,"2-4-1 PIZZA","Food Take Out","1468 QUEEN ST W","Pass",2,"Operator fail to properly wash surfaces in rooms","2016-06-27","M - Minor","Notice to Comply"," "," "
"43",43,9000046,103758468,"2-4-1 PIZZA","Food Take Out","1468 QUEEN ST W","Pass",2,"PROVIDE THERMOMETER NOT EASILY READABLE IN STORAGE COMPARTMENT O. REG  562/90 SEC. 21","2016-06-27","S - Significant","Corrected During Inspection"," "," "
"44",44,9000074,103600263,"LE MERIDIEN KING EDWARD -BANQUET KITCHEN","Commissary","37 KING ST E","Pass",2,"","2015-10-30","","","",""
"45",45,9000074,103755249,"LE MERIDIEN KING EDWARD -BANQUET KITCHEN","Commissary","37 KING ST E","Pass",2,"","2016-06-21","","","",""
"46",46,9000074,103873295,"LE MERIDIEN KING EDWARD -BANQUET KITCHEN","Commissary","37 KING ST E","Pass",2,"USE FOOD PREPARATION EQUIPMENT NOT IN GOOD REPAIR O. REG  562/90 SEC. 18(B)","2016-12-28","S - Significant","Corrected During Inspection"," "," "
"47",47,9000107,103482224,"STUDIO 123","Child Care - Catered","401 RICHMOND ST W","Pass",3,"","2015-05-06","","","",""
"48",48,9000107,103584555,"STUDIO 123","Child Care - Catered","401 RICHMOND ST W","Pass",3,"","2015-10-01","","","",""
"49",49,9000107,103703667,"STUDIO 123","Child Care - Catered","401 RICHMOND ST W","Pass",3,"","2016-04-07","","","",""
"50",50,9000107,103793603,"STUDIO 123","Child Care - Catered","401 RICHMOND ST W","Pass",3,"","2016-08-15","","","",""
"51",51,9000107,103836202,"STUDIO 123","Child Care - Catered","401 RICHMOND ST W","Pass",3,"","2016-10-24","","","",""
"52",52,9000107,103916498,"STUDIO 123","Child Care - Catered","401 RICHMOND ST W","Pass",3,"","2017-02-22","","","",""
"53",53,9000108,103535481,"416 DROP-IN CENTRE","Community Kitchen Meal Program","416 DUNDAS ST E","Pass",2,"","2015-07-20","","","",""
"54",54,9000108,103611548,"416 DROP-IN CENTRE","Community Kitchen Meal Program","416 DUNDAS ST E","Pass",2,"","2015-11-18","","","",""
"55",55,9000108,103692157,"416 DROP-IN CENTRE","Community Kitchen Meal Program","416 DUNDAS ST E","Conditional Pass",2,"Operator fail to provide adequate lighting","2016-03-17","M - Minor","Notice to Comply"," "," "
"56",56,9000108,103692157,"416 DROP-IN CENTRE","Community Kitchen Meal Program","416 DUNDAS ST E","Conditional Pass",2,"Operator fail to provide adequate pest control","2016-03-17","S - Significant","Notice to Comply"," "," "
"57",57,9000108,103692157,"416 DROP-IN CENTRE","Community Kitchen Meal Program","416 DUNDAS ST E","Conditional Pass",2,"Operator fail to use proper utensils to ensure food safety","2016-03-17","S - Significant","Notice to Comply"," "," "
"58",58,9000108,103692344,"416 DROP-IN CENTRE","Community Kitchen Meal Program","416 DUNDAS ST E","Pass",2,"","2016-03-29","","","",""
"59",59,9000108,103854438,"416 DROP-IN CENTRE","Community Kitchen Meal Program","416 DUNDAS ST E","Pass",2,"Operator fail to provide adequate lighting","2016-11-23","M - Minor","Notice to Comply"," "," "
"60",60,9000109,103730017,"BRASS TAPS PIZZA PUB","Restaurant","493 DANFORTH AVE ","Pass",2,"Fail to produce valid food handler's certificate - Muncipal Code Chapter 545 Sec. 5G(17)(c)","2016-05-16","NA - Not Applicable","Notice to Comply"," "," "
"61",61,9000109,103730017,"BRASS TAPS PIZZA PUB","Restaurant","493 DANFORTH AVE ","Pass",2,"Operator fail to properly maintain equipment(NON-FOOD)","2016-05-16","M - Minor","Notice to Comply"," "," "
"62",62,9000109,103730017,"BRASS TAPS PIZZA PUB","Restaurant","493 DANFORTH AVE ","Pass",2,"Operator fail to properly maintain rooms","2016-05-16","M - Minor","Notice to Comply"," "," "
"63",63,9000109,103730017,"BRASS TAPS PIZZA PUB","Restaurant","493 DANFORTH AVE ","Pass",2,"Operator fail to properly wash equipment","2016-05-16","M - Minor","Notice to Comply"," "," "
"64",64,9000109,103730017,"BRASS TAPS PIZZA PUB","Restaurant","493 DANFORTH AVE ","Pass",2,"Operator fail to properly wash surfaces in rooms","2016-05-16","M - Minor","Notice to Comply"," "," "
"65",65,9000109,103918597,"BRASS TAPS PIZZA PUB","Restaurant","493 DANFORTH AVE ","Pass",2,"Operator fail to properly maintain equipment(NON-FOOD)","2017-02-23","M - Minor","Notice to Comply"," "," "
"66",66,9000109,103918597,"BRASS TAPS PIZZA PUB","Restaurant","493 DANFORTH AVE ","Pass",2,"Operator fail to properly maintain rooms","2017-02-23","M - Minor","Notice to Comply"," "," "
"67",67,9000109,103918597,"BRASS TAPS PIZZA PUB","Restaurant","493 DANFORTH AVE ","Pass",2,"Operator fail to properly wash equipment","2017-02-23","M - Minor","Notice to Comply"," "," "
"68",68,9000116,103648866,"521 CAFE","Restaurant","521 DANFORTH AVE ","Pass",2,"Operator fail to properly maintain rooms","2016-01-11","M - Minor","Notice to Comply"," "," "
"69",69,9000116,103893620,"521 CAFE","Restaurant","521 DANFORTH AVE ","Pass",2,"FAIL TO HAVE TEST REAGENT AVAILABLE AT  PLACE OF SANITIZATION O. REG  562/90 SEC. 75(2)","2017-01-17","S - Significant","Corrected During Inspection"," "," "
"70",70,9000122,103667438,"7 DAY CONVENIENCE","Food Store (Convenience / Variety)","2480 GERRARD ST E","Pass",1,"","2016-02-09","","","",""
"71",71,9000122,103896609,"7 DAY CONVENIENCE","Food Store (Convenience / Variety)","2480 GERRARD ST E","Pass",1,"","2017-01-25","","","",""
"72",72,9000123,103583630,"7 DAY CONVENIENCE","Food Store (Convenience / Variety)","3228 WESTON RD ","Pass",1,"","2015-10-01","","","",""
"73",73,9000123,103718106,"7 DAY CONVENIENCE","Food Store (Convenience / Variety)","3228 WESTON RD ","Pass",1,"Operator fail to provide proper equipment","2016-04-27","M - Minor","Notice to Comply"," "," "
"74",74,9000144,103531214,"7 WEST CAFE","Restaurant","7 CHARLES ST W","Pass",3,"Operator fail to properly maintain equipment(NON-FOOD)","2015-07-14","M - Minor","Notice to Comply"," "," "
"75",75,9000144,103585372,"7 WEST CAFE","Restaurant","7 CHARLES ST W","Pass",3,"Operator fail to properly maintain equipment(NON-FOOD)","2015-10-05","M - Minor","Notice to Comply"," "," "
"76",76,9000144,103660542,"7 WEST CAFE","Restaurant","7 CHARLES ST W","Pass",3,"Operate food premise - fail to provide sign indicating sex for which sanitary facility intended O. Reg  562/90 Sec. 68(2)(a)","2016-01-27","M - Minor","Notice to Comply"," "," "
"77",77,9000144,103660542,"7 WEST CAFE","Restaurant","7 CHARLES ST W","Pass",3,"Operator fail to properly maintain rooms","2016-01-27","M - Minor","Notice to Comply"," "," "
"78",78,9000144,103660542,"7 WEST CAFE","Restaurant","7 CHARLES ST W","Pass",3,"Operator fail to properly wash surfaces in rooms","2016-01-27","M - Minor","Notice to Comply"," "," "
"79",79,9000144,103660542,"7 WEST CAFE","Restaurant","7 CHARLES ST W","Pass",3,"STORE UTENSILS IN MANNER NOT PREVENTING CONTAMINATION O. REG  562/90 SEC. 81","2016-01-27","S - Significant","Corrected During Inspection"," "," "
"80",80,9000144,103660542,"7 WEST CAFE","Restaurant","7 CHARLES ST W","Pass",3,"USE BASIN FOR HAND WASHING OF PERSONS OTHER THAN EMPLOYEES O. REG  562/90 SEC. 20(2)","2016-01-27","S - Significant","Corrected During Inspection"," "," "
"81",81,9000144,103735501,"7 WEST CAFE","Restaurant","7 CHARLES ST W","Pass",3,"Operator fail to properly maintain rooms","2016-05-25","M - Minor","Notice to Comply"," "," "
"82",82,9000144,103833553,"7 WEST CAFE","Restaurant","7 CHARLES ST W","Conditional Pass",3,"Operator fail to properly maintain mechanical washer","2016-10-20","S - Significant","Notice to Comply"," "," "
"83",83,9000144,103833553,"7 WEST CAFE","Restaurant","7 CHARLES ST W","Conditional Pass",3,"Operator fail to properly wash surfaces in rooms","2016-10-20","M - Minor","Notice to Comply"," "," "
"84",84,9000144,103833553,"7 WEST CAFE","Restaurant","7 CHARLES ST W","Conditional Pass",3,"Operator fail to provide separate handwashing sink(s)","2016-10-20","S - Significant","Notice to Comply"," "," "
"85",85,9000144,103835194,"7 WEST CAFE","Restaurant","7 CHARLES ST W","Pass",3,"","2016-10-21","","","",""
"86",86,9000144,103893974,"7 WEST CAFE","Restaurant","7 CHARLES ST W","Pass",3,"Operator fail to properly maintain equipment(NON-FOOD)","2017-01-18","M - Minor","Notice to Comply"," "," "
"87",87,9000144,103893974,"7 WEST CAFE","Restaurant","7 CHARLES ST W","Pass",3,"Operator fail to provide adequate lighting","2017-01-18","M - Minor","Notice to Comply"," "," "
"88",88,9000144,103893974,"7 WEST CAFE","Restaurant","7 CHARLES ST W","Pass",3,"USE BASIN FOR HAND WASHING OF PERSONS OTHER THAN EMPLOYEES O. REG  562/90 SEC. 20(2)","2017-01-18","S - Significant","Corrected During Inspection"," "," "
"89",89,9000174,103525538,"A & A CHILD CARE CENTRE","Child Care - Food Preparation","3380 MIDLAND AVE ","Pass",3,"","2015-06-24","","","",""
"90",90,9000174,103665114,"A & A CHILD CARE CENTRE","Child Care - Food Preparation","3380 MIDLAND AVE ","Pass",3,"","2016-02-03","","","",""
"91",91,9000174,103797649,"A & A CHILD CARE CENTRE","Child Care - Food Preparation","3380 MIDLAND AVE ","Pass",3,"","2016-08-19","","","",""
"92",92,9000174,103861519,"A & A CHILD CARE CENTRE","Child Care - Food Preparation","3380 MIDLAND AVE ","Conditional Pass",3,"Operator fail to provide properly equipped mechanical washer","2016-12-05","S - Significant","Notice to Comply"," "," "
"93",93,9000174,103861556,"A & A CHILD CARE CENTRE","Child Care - Food Preparation","3380 MIDLAND AVE ","Pass",3,"","2016-12-20","","","",""
"94",94,9000174,103921805,"A & A CHILD CARE CENTRE","Child Care - Food Preparation","3380 MIDLAND AVE ","Pass",3,"","2017-03-16","","","",""
"95",95,9000183,103927107,"A & E VARIETY STORE","Food Store (Convenience / Variety)","1308 DANFORTH AVE ","Pass",1,"","2017-03-09","","","",""
"96",96,9000191,103624486,"METRO DISTRIBUTION CENTRE","Food Depot","170 THE WEST MALL  ","Pass",1,"","2015-12-14","","","",""
"97",97,9000193,103624488,"METRO DISTRIBUTION CENTRE","Food Depot","25 VICKERS RD ","Pass",1,"","2015-12-14","","","",""
"98",98,9000198,103553050,"A & W","Food Court Vendor","250 THE EAST MALL  ","Pass",2,"","2015-08-18","","","",""
"99",99,9000198,103604109,"A & W","Food Court Vendor","250 THE EAST MALL  ","Pass",2,"Operator fail to properly wash surfaces in rooms","2015-11-05","M - Minor","Notice to Comply"," "," "
"100",100,9000198,103604109,"A & W","Food Court Vendor","250 THE EAST MALL  ","Pass",2,"Operator fail to provide proper equipment","2015-11-05","M - Minor","Notice to Comply"," "," "
"101",101,9000198,103770539,"A & W","Food Court Vendor","250 THE EAST MALL  ","Pass",2,"","2016-06-15","","","",""
"102",102,9000198,103874742,"A & W","Food Court Vendor","250 THE EAST MALL  ","Pass",2,"","2016-12-29","","","",""
"103",103,9000200,103519161,"A & W","Restaurant","2300 YONGE ST ","Conditional Pass",2,"Operator fail to properly maintain rooms","2015-06-25","M - Minor","Notice to Comply"," "," "
"104",104,9000200,103519161,"A & W","Restaurant","2300 YONGE ST ","Conditional Pass",2,"Operator fail to properly wash surfaces in rooms","2015-06-25","M - Minor","Notice to Comply"," "," "
"105",105,9000200,103519161,"A & W","Restaurant","2300 YONGE ST ","Conditional Pass",2,"Operator fail to provide adequate pest control","2015-06-25","S - Significant","Notice to Comply"," "," "
"106",106,9000200,103519162,"A & W","Restaurant","2300 YONGE ST ","Pass",2,"","2015-06-26","","","",""
"107",107,9000200,103627591,"A & W","Restaurant","2300 YONGE ST ","Pass",2,"Operator fail to properly wash equipment","2015-12-12","M - Minor","Notice to Comply"," "," "
"108",108,9000200,103731771,"A & W","Restaurant","2300 YONGE ST ","Pass",2,"Operator fail to properly maintain rooms","2016-05-18","M - Minor","Notice to Comply"," "," "
"109",109,9000200,103731771,"A & W","Restaurant","2300 YONGE ST ","Pass",2,"Operator fail to properly wash surfaces in rooms","2016-05-18","M - Minor","Notice to Comply"," "," "
"110",110,9000200,103788406,"A & W","Restaurant","2300 YONGE ST ","Conditional Pass",2,"Operator fail to properly maintain rooms","2016-08-03","M - Minor","Notice to Comply"," "," "
"111",111,9000200,103788406,"A & W","Restaurant","2300 YONGE ST ","Conditional Pass",2,"Operator fail to properly wash surfaces in rooms","2016-08-03","M - Minor","Notice to Comply"," "," "
"112",112,9000200,103788406,"A & W","Restaurant","2300 YONGE ST ","Conditional Pass",2,"Operator fail to provide adequate pest control","2016-08-03","S - Significant","Notice to Comply"," "," "
"113",113,9000200,103788407,"A & W","Restaurant","2300 YONGE ST ","Conditional Pass",2,"Operator fail to properly maintain rooms","2016-08-05","M - Minor","Notice to Comply"," "," "
"114",114,9000200,103788407,"A & W","Restaurant","2300 YONGE ST ","Conditional Pass",2,"Operator fail to provide adequate pest control","2016-08-05","S - Significant","Notice to Comply"," "," "
"115",115,9000200,103789290,"A & W","Restaurant","2300 YONGE ST ","Pass",2,"","2016-08-08","","","",""
"116",116,9000200,103910438,"A & W","Restaurant","2300 YONGE ST ","Conditional Pass",2,"Employee fail to wash hands when required","2017-02-10","C - Crucial","Notice to Comply"," "," "
"117",117,9000200,103910438,"A & W","Restaurant","2300 YONGE ST ","Conditional Pass",2,"Operator fail to properly wash equipment","2017-02-10","M - Minor","Notice to Comply"," "," "
"118",118,9000200,103910438,"A & W","Restaurant","2300 YONGE ST ","Conditional Pass",2,"Operator fail to properly wash surfaces in rooms","2017-02-10","M - Minor","Notice to Comply"," "," "
"119",119,9000200,103910562,"A & W","Restaurant","2300 YONGE ST ","Pass",2,"","2017-02-13","","","",""
"120",120,9000214,103609583,"A.C.C. 303 - TIM HORTONS","Food Take Out","40 BAY ST ","Pass",1,"","2015-11-13","","","",""
"121",121,9000214,103707554,"A.C.C. 303 - TIM HORTONS","Food Take Out","40 BAY ST ","Pass",1,"","2016-04-12","","","",""
"122",122,9000214,103945988,"A.C.C. 303 - TIM HORTONS","Food Take Out","40 BAY ST ","Pass",1,"","2017-04-07","","","",""
"123",123,9000224,103573272,"A PLACE TO PLAY CO-OP NURSERY","Child Care - Catered","680 ANNETTE ST ","Pass",2,"","2015-09-18","","","",""
"124",124,9000224,103672945,"A PLACE TO PLAY CO-OP NURSERY","Child Care - Catered","680 ANNETTE ST ","Pass",2,"","2016-02-26","","","",""
"125",125,9000224,103819089,"A PLACE TO PLAY CO-OP NURSERY","Child Care - Catered","680 ANNETTE ST ","Pass",2,"","2017-01-09","","","",""
"126",126,9000239,103498781,"A.C. RANCH CAFFE","Restaurant","1220 ST CLAIR AVE W","Pass",2,"Operator fail to properly maintain rooms","2015-05-29","M - Minor","Notice to Comply"," "," "
"127",127,9000239,103498781,"A.C. RANCH CAFFE","Restaurant","1220 ST CLAIR AVE W","Pass",2,"Operator fail to properly wash equipment","2015-05-29","M - Minor","Notice to Comply"," "," "
"128",128,9000239,103604801,"A.C. RANCH CAFFE","Restaurant","1220 ST CLAIR AVE W","Pass",2,"","2015-11-06","","","",""
"129",129,9000239,103689822,"A.C. RANCH CAFFE","Restaurant","1220 ST CLAIR AVE W","Pass",2,"","2016-03-14","","","",""
"130",130,9000239,103726541,"A.C. RANCH CAFFE","Restaurant","1220 ST CLAIR AVE W","Pass",2,"Operator fail to properly maintain rooms","2016-05-11","M - Minor","Notice to Comply"," "," "
"131",131,9000239,103726541,"A.C. RANCH CAFFE","Restaurant","1220 ST CLAIR AVE W","Pass",2,"Operator fail to properly wash equipment","2016-05-11","M - Minor","Notice to Comply"," "," "
"132",132,9000239,103845455,"A.C. RANCH CAFFE","Restaurant","1220 ST CLAIR AVE W","Pass",2,"Operator fail to properly wash equipment","2016-11-07","M - Minor","Notice to Comply"," "," "
"133",133,9000239,103943953,"A.C. RANCH CAFFE","Restaurant","1220 ST CLAIR AVE W","Pass",2,"","2017-04-05","","","",""
"134",134,9000241,103507274,"FANTIS FOODS OF CANADA LTD.","Food Depot","1 BESTOBELL RD ","Pass",1,"","2015-06-09","","","",""
"135",135,9000241,103854433,"FANTIS FOODS OF CANADA LTD.","Food Depot","1 BESTOBELL RD ","Pass",1,"","2016-11-23","","","",""
"136",136,9000241,103943280,"FANTIS FOODS OF CANADA LTD.","Food Depot","1 BESTOBELL RD ","Pass",1,"","2017-04-04","","","",""
"137",137,9000247,103771626,"A.R.K. MARKET","Food Store (Convenience / Variety)","31 ST DENNIS DR ","Conditional Pass",1,"Operator fail to ensure food is not contaminated/adulterated","2016-07-20","C - Crucial","Notice to Comply"," "," "
"138",138,9000247,103771626,"A.R.K. MARKET","Food Store (Convenience / Variety)","31 ST DENNIS DR ","Conditional Pass",1,"Operator fail to properly maintain rooms","2016-07-20","M - Minor","Notice to Comply"," "," "
"139",139,9000247,103771626,"A.R.K. MARKET","Food Store (Convenience / Variety)","31 ST DENNIS DR ","Conditional Pass",1,"Operator fail to use proper procedure(s) to ensure food safety","2016-07-20","S - Significant","Notice to Comply"," "," "
"140",140,9000247,103774193,"A.R.K. MARKET","Food Store (Convenience / Variety)","31 ST DENNIS DR ","Pass",1,"FAIL TO STORE FOOD ON PALLETS O. REG  562/90 SEC. 23","2016-07-25","S - Significant","Corrected During Inspection"," "," "
"141",141,9000247,103774193,"A.R.K. MARKET","Food Store (Convenience / Variety)","31 ST DENNIS DR ","Pass",1,"Operator fail to properly maintain rooms","2016-07-25","M - Minor","Notice to Comply"," "," "
"142",142,9000251,103487193,"A-1 DISCOUNT VARIETY","Food Store (Convenience / Variety)","2412 LAKE SHORE BLVD W","Pass",1,"","2015-05-11","","","",""
"143",143,9000251,103723270,"A-1 DISCOUNT VARIETY","Food Store (Convenience / Variety)","2412 LAKE SHORE BLVD W","Pass",1,"","2016-05-05","","","",""
"144",144,9000251,103908510,"A-1 DISCOUNT VARIETY","Food Store (Convenience / Variety)","2412 LAKE SHORE BLVD W","Pass",1,"","2017-02-08","","","",""
"145",145,9000253,103545734,"AL-BARAK VARIETY STORE","Food Store (Convenience / Variety)","1880 WESTON RD ","Pass",2,"","2015-09-14","","","",""
"146",146,9000253,103749536,"AL-BARAK VARIETY STORE","Food Store (Convenience / Variety)","1880 WESTON RD ","Pass",2,"","2016-07-15","","","",""
"147",147,9000261,103589860,"ABACUS DAY CARE CENTRE","Child Care - Food Preparation","20 CHICHESTER PL ","Pass",3,"","2015-10-14","","","",""
"148",148,9000261,103678327,"ABACUS DAY CARE CENTRE","Child Care - Food Preparation","20 CHICHESTER PL ","Pass",3,"","2016-02-25","","","",""
"149",149,9000261,103774579,"ABACUS DAY CARE CENTRE","Child Care - Food Preparation","20 CHICHESTER PL ","Pass",3,"","2016-07-21","","","",""
"150",150,9000261,103839118,"ABACUS DAY CARE CENTRE","Child Care - Food Preparation","20 CHICHESTER PL ","Pass",3,"","2016-10-27","","","",""
"151",151,9000261,103904004,"ABACUS DAY CARE CENTRE","Child Care - Food Preparation","20 CHICHESTER PL ","Pass",3,"","2017-01-06","","","",""
"152",152,9000263,103565611,"ABBIRAMI CATERING & TAKE-OUT","Food Take Out","2619 EGLINTON AVE E","Conditional Pass",3,"Operator fail to ensure premises swept to prevent food contamination O. Reg  562/90 Sec. 59(a)","2015-09-15","C - Crucial","Notice to Comply"," "," "
"153",153,9000263,103565611,"ABBIRAMI CATERING & TAKE-OUT","Food Take Out","2619 EGLINTON AVE E","Conditional Pass",3,"Operator fail to properly maintain rooms","2015-09-15","M - Minor","Notice to Comply"," "," "
"154",154,9000263,103565611,"ABBIRAMI CATERING & TAKE-OUT","Food Take Out","2619 EGLINTON AVE E","Conditional Pass",3,"Operator fail to use proper utensils to ensure food safety","2015-09-15","S - Significant","Notice to Comply"," "," "
"155",155,9000263,103570844,"ABBIRAMI CATERING & TAKE-OUT","Food Take Out","2619 EGLINTON AVE E","Pass",3,"","2015-09-16","","","",""
"156",156,9000263,103632774,"ABBIRAMI CATERING & TAKE-OUT","Food Take Out","2619 EGLINTON AVE E","Conditional Pass",3,"Operator fail to ensure equipment surface washed as necessary O. Reg  562/90 Sec. 59(g)","2015-12-22","M - Minor","Notice to Comply"," "," "
"157",157,9000263,103632774,"ABBIRAMI CATERING & TAKE-OUT","Food Take Out","2619 EGLINTON AVE E","Conditional Pass",3,"Operator fail to ensure floor of food-handling room kept clean O. Reg  562/90 Sec. 59(h)","2015-12-22","M - Minor","Notice to Comply"," "," "
